FAR_ID,Maneuver_Case,Analysis_Method,Method_Summary
"FAR/CS 25.301 / FAR/CS 23.301",General structural loads — limit and ultimate definition,§a,"All computed section loads reported at both limit and limit × 1.5 (ultimate). Establishes the legal maximum load the structure must carry without permanent deformation (limit) and without failure (ultimate)."
"FAR/CS 25.303 / FAR/CS 23.303",Factor of safety,§a,"FS = 1.5 applied to all limit section loads in loads.py before output. Module-level constant FS; never substituted with a bare literal in analysis functions."
"FAR/CS 25.333 / FAR/CS 23.333",Flight maneuvering envelope (V-n diagram),§a,"Defines V-n diagram boundary. Condition list is populated from the corners and edges of the envelope: (VC; n_z_max); (VD; n_z_max); (VC; n_z_min); (VD; 0). Trim and load summation run at each corner condition."
"FAR/CS 25.335 / FAR/CS 23.335",Design airspeeds,§a,"V_A (maneuver speed); V_B (gust reference speed); V_C (design cruise speed); V_D (design dive speed). Specified as V_EAS_kts per condition in the condition list. Trim solver uses V_EAS_kts to compute q_psf and Mach number."
"FAR/CS 25.337 / FAR/CS 23.337",Limit maneuver load factors,§a,"n_z_max = 2.1 + 24000/(W_lbf + 10000); min 2.5; max 3.8. n_z_min = -1.0 (FAR 25); n_z_min = 0 (normal category FAR 23). Applied as target n_z in trim solver for pull-up and push-over conditions. See decision.md §10."
"FAR/CS 25.331(b) / FAR/CS 23.331",Symmetric pull-up,§a,"Quasi-static trim at n_z_max. Strip loads Cn; Cm; Cc interpolated at trim state and integrated over each surface using trapezoid rule. Inertia loads from m_slug × G_FT_S2 × n_z summed to LRA section cuts. Critical for upper wing skin bending and HT down-load."
"FAR/CS 25.331(b) / FAR/CS 23.331",Push-over (minimum load factor),§a,"Quasi-static trim at n_z_min. Identical method to pull-up. Critical for lower wing skin (reversed bending) and HT up-load. Yields the maximum negative section loads at each LRA station."
"FAR/CS 25.331(c) / FAR/CS 23.331",Checked maneuver,§b1,"Time-history EOM integration. Pitch rate applied to reach n_z_max then reversed (pilot checks the pitch). Strip loads computed at each time step and summed to LRA. Critical instant identified as time of peak load per component per station."
"FAR/CS 25.347 / FAR/CS 23.347",Unsymmetrical loads — 100%/80% HT,§a,"HT carries 100% of the symmetric tail load on one surface and 80% on the other. Generates antisymmetric fuselage torsion. Implemented as a port/starboard scaling factor applied to HT strip load arrays before summing to LRA."
"FAR/CS 25.349 / FAR/CS 23.349",Rolling pull-out,§a / §b1,"Steady-state: trim at n_z with roll rate p_rad_s added as angular rate increment to aero database; port and starboard strip loads superposed per FAR/CS 25.349. Dynamic: full EOM integration with α and p as coupled states; critical instant extracted from time history."
"FAR/CS 25.351 / FAR/CS 23.351",Yaw maneuver,§a / §b1,"Steady-state: trim in sideslip β with prescribed δ_r_deg; VT and fuselage strip loads from Cn_body increments; inertia n_y loads summed to LRA. Dynamic: EOM integration with prescribed rudder input time history; peak VT and fuselage loads extracted."
"FAR/CS 25.345 / FAR/CS 23.345",High lift devices (flap/slat extended),§a,"Quasi-static trim at V_F (design flap speed) with selected flap/slat configuration. Aero database flap deflection increment (delta_f_deg) applied. Vertical 1-cosine gust at V_F superposed as additional Δn_z on the trim condition."
"FAR/CS 25.367 / FAR/CS 23.367",Engine failure — asymmetric thrust,§a,"One engine at zero thrust; remaining engine at take-off power. Yawing moment from thrust asymmetry coupled with rudder deflection to maintain heading. Asymmetric inertia loads from engine mass at n_z applied to inertia summation."
"FAR/CS 25.391–25.427 / FAR/CS 23.391–23.427",Control surface and tab loads,§a,"Hinge moment loads from limit pilot forces or maximum actuator deflection per surface. Computed from ΔCm_hinge increments in aero database at each deflection state. Hinge moment My_hinge_ftlbf reported at each surface root in addition to primary structure section loads."
"FAR/CS 25.341(a) / FAR/CS 23.341",Discrete vertical gust — 1-cosine,§b2,"Gust profile U(s) = (U_de_fps/2)(1 − cos(πs/H_ft)) for penetration distance s over 0 to 2H. Alleviation factor K_g = 0.88μ_g/(5.3 + μ_g). Δn_z increment added to trim n_z. Gust gradient H swept from 30–350 ft; critical H identified per LRA station per load component."
"FAR/CS 25.341(a) / FAR/CS 23.341",Discrete lateral gust — 1-cosine,§b2,"Same 1-cosine gust profile applied laterally. Generates Δn_y side force on VT and fuselage strips. Separate K_g computed using lateral mass ratio μ_g_lateral. Gust sweep over same H = 30–350 ft range. Critical for VT bending and fuselage lateral section loads."
"FAR/CS 25.341(b) / —",Continuous turbulence — PSD gust,§b3,"Frequency-domain power spectral density method. Aircraft load FRF H_load(ω) applied to Von Karman spectrum Φ_U(ω). RMS load σ = sqrt(integral of |H(ω)|² × Φ_U(ω) dω). Limit load = k × σ per AC 25.341-1 / AMC 25.341-1. Implementation path subject to decision.md §2; FAR 23 does not require this load path."
"FAR/CS 25.489 / FAR/CS 23.489",Ground handling — general,§c,"Umbrella requirement; all ground handling sub-cases must be evaluated at maximum ramp weight. No aerodynamic loads. Quasi-static force and moment balance: applied loads (brake; tow; centrifugal) reacted by inertia at CG and structural loads at attachment points."
"FAR/CS 25.491 / FAR/CS 23.491",Taxi over bump,§c,"Vertical dynamic load factor n_z_eff applied at gear contact from taxi over ground obstacles. Typically n_z_eff = 2.0 g for paved runways; higher for unpaved. Computed as quasi-static: F_vertical = W_lbf × n_z_eff applied at gear attachment and summed to LRA."
"FAR/CS 25.485 / FAR/CS 23.485",Side load — ground handling,§c,"Lateral force = 0.25 × limit vertical ground reaction applied at main gear contact patch simultaneously with the vertical load. Generates lateral bending in fuselage and wing carry-through. Applied as n_y inertia load on all mass items."
"FAR/CS 25.493 / FAR/CS 23.493",Braked roll,§c,"T_brake_ftlbf = μ_brake × N_gear_lbf; μ_brake = 0.80 (dry runway) per FAR/CS 25.493. Applied as drag force at gear contact patch; reacted as n_x deceleration load on all mass items. Critical for nose gear forward attachment and forward fuselage lower skin."
"FAR/CS 25.495 / FAR/CS 23.495",Turning — taxiing,§c,"Centrifugal force = m_slug × V_ground_fps² / R_turn_ft applied laterally at CG. Outer main gear vertical load increases; inner gear vertical load decreases. Critical for outer main gear fitting vertical load and wing carry-through lateral bending."
"FAR/CS 25.497 / FAR/CS 23.497",Tail wheel yawing,§c,"Applicable to tail-dragger configurations only. Tail wheel side force = 0.133 × limit vertical tail wheel reaction. Applied laterally at tail wheel attachment. Generates torsion and lateral bending in aft fuselage structure."
"FAR/CS 25.499 / FAR/CS 23.499",Nose-wheel yaw and steering,§c,"Nose gear side force from maximum steering torque or shimmy excitation. Applied laterally at nose gear attachment point. Generates lateral bending in forward fuselage frames and nose gear leg. Applied at maximum ramp weight."
"FAR/CS 25.503 / FAR/CS 23.503",Pivoting,§c,"Aircraft pivots about one stationary main gear with the other gear as the moving pivot point. Friction force at fixed-gear contact generates fuselage torsion and lateral wing bending. Critical for main gear fitting and wing attachment frame shear loads."
"FAR/CS 25.507 / FAR/CS 23.507",Reversed braking,§c,"Brake drag applied in the forward direction (reverse-thrust or reversed braking scenario). Generates nose-up pitching moment reacted by nose gear down-load increase. Critical for upper skin of forward fuselage and nose gear leg tension."
"FAR/CS 25.509 / FAR/CS 23.509",Towing loads,§c,"Tow force applied at tow fitting in multiple directions per FAR/CS 25.509 table. Generates longitudinal; lateral; and vertical loads in forward fuselage structure and nose gear leg. Evaluated at maximum ramp weight with no aerodynamic loads."
"FAR/CS 25.519 / FAR/CS 23.519",Jacking and tie-down,§c,"Vertical jack load at each jack point at maximum gross weight. Generates concentrated bending at jack pad fitting and local skin. Tie-down load = 1.33 × W applied in forward; aft; and lateral directions at tie-down fittings."
"FAR/CS 25.473 / FAR/CS 23.473",Landing — general conditions and assumptions,§d1,"Defines design sink rates: V_sink = 10 fps at max landing weight; 6 fps at max takeoff weight. Gear efficiency η_gear = 0.80 per FAR/CS 25.473(b). Reserve energy method: F_gear_lbf = W_lbf × η_gear × (1 + V_sink_fps² / (2 × G_FT_S2 × d_stroke_ft))."
"FAR/CS 25.477 / FAR/CS 23.477",Landing gear arrangement,§d1,"Defines main and nose gear geometry used to distribute total gear reaction between struts. CG position relative to gear base determines fore/aft load split. Applied once per aircraft configuration before running all landing sub-cases."
"FAR/CS 25.479 / FAR/CS 23.479",Level landing — 2-point,§d1,"Two main gears contact simultaneously. Peak F_gear from reserve energy method distributed per strut geometry. Drag component = 0.25 × vertical reaction applied aft at contact patch. Effective n_z_eff = F_gear_lbf / W_lbf applied to airframe as quasi-static case."
"FAR/CS 25.481 / FAR/CS 23.481",Tail-down landing,§d1,"Aircraft contacts runway at maximum tail-down attitude α_td_deg. Main gear and tail skid contact simultaneously. Nose-up pitching moment from tail skid reaction added to vertical gear load in loads.py. Critical for aft fuselage and tail skid attachment."
"FAR/CS 25.483 / FAR/CS 23.483",One-gear landing,§d1,"100% of the limit vertical landing reaction applied at one main gear only. Lateral load = 0.25 × vertical at the loaded gear; zero at the unloaded gear. Generates antisymmetric rolling moment in airframe. Critical for loaded main gear fitting and wing lower skin."
"FAR/CS 25.485 / FAR/CS 23.485",Lateral drift — landing,§d1,"0.25 × limit vertical landing reaction applied laterally at gear contact simultaneously with the level landing vertical load. Generates lateral bending in main gear leg and wing carry-through. Distinct from the ground-handling side load case (25.485 applies to both)."
"FAR/CS 25.487 / FAR/CS 23.487",Rebound landing,§d1,"Aircraft bounces off the ground after initial gear contact. At the moment of lift-off the gear is at full extension and the aircraft is at limit design weight. Applied as a separate quasi-static case. Critical for gear spring-back structural loads."
"FAR/CS 25.511 / FAR/CS 23.511",Ground load dynamic conditions,§d3,"Dynamic spring-damper gear model: F_gear(t) = k_gear × x_ft(t) + c_gear × x_dot_fps(t). Aircraft plus gear equations of motion integrated from V_sink_fps initial condition until gear stroke exhausted or rebound. Peak gear attachment loads and airframe section loads extracted from time history. Subject to decision.md §3."
